symbol,isin,exchange,date,open,high,low,close,volume,year,month,day,ym
ESSARSHPNG,INE122M01019,NSE,2021-12-14,9.7,10.15,9.7,9.8,123362,2021,12,14,202112
ESTER,INE778B01029,NSE,2021-12-14,135.4,136.2,132.35,132.75,93465,2021,12,14,202112
EVEREADY,INE128A01029,NSE,2021-12-14,317.4,326.65,316.8,322.4,253485,2021,12,14,202112
EVERESTIND,INE295A01018,NSE,2021-12-14,444.7,451.1,439.9,449.7,55726,2021,12,14,202112
EXCELINDUS,INE369A01029,NSE,2021-12-14,919.0,926.9,896.15,918.6,12711,2021,12,14,202112
EXIDEIND,INE302A01020,NSE,2021-12-14,167.1,168.65,165.85,167.65,1911493,2021,12,14,202112
EXPLEOSOL,INE201K01015,NSE,2021-12-14,1532.0,1591.0,1505.0,1523.1,18935,2021,12,14,202112
EXXARO,INE0GFE01018,NSE,2021-12-14,147.7,153.8,146.75,149.85,276307,2021,12,14,202112
FACT,INE188A01015,NSE,2021-12-14,117.9,118.75,116.05,117.4,81551,2021,12,14,202112
FAIRCHEMOR,INE0DNW01011,NSE,2021-12-14,1772.0,1823.45,1767.55,1783.0,15305,2021,12,14,202112
FCL,INE045J01026,NSE,2021-12-14,136.8,144.65,134.55,138.95,2705654,2021,12,14,202112
FCONSUMER,INE220J01025,NSE,2021-12-14,7.25,7.3,7.1,7.15,4839504,2021,12,14,202112
FDC,INE258B01022,NSE,2021-12-14,293.0,298.0,289.6,294.9,145861,2021,12,14,202112
FEDERALBNK,INE171A01029,NSE,2021-12-14,91.5,91.5,89.9,91.0,7786084,2021,12,14,202112
FEL,INE623B01027,NSE,2021-12-14,9.2,9.55,9.0,9.45,1735716,2021,12,14,202112
FELDVR,IN9623B01058,NSE,2021-12-14,12.2,12.3,11.65,12.0,88845,2021,12,14,202112
FIEMIND,INE737H01014,NSE,2021-12-14,1214.0,1227.35,1172.35,1175.4,32517,2021,12,14,202112
FILATEX,INE816B01027,NSE,2021-12-14,96.0,97.7,93.7,94.65,1626058,2021,12,14,202112
FINCABLES,INE235A01022,NSE,2021-12-14,571.9,576.15,565.25,568.7,70543,2021,12,14,202112
FINEORG,INE686Y01026,NSE,2021-12-14,3674.0,3740.0,3583.8,3721.4,16484,2021,12,14,202112
FINOPB,INE02NC01014,NSE,2021-12-14,412.9,412.9,395.1,399.85,265977,2021,12,14,202112
FINPIPE,INE183A01024,NSE,2021-12-14,207.0,209.9,206.4,208.95,438759,2021,12,14,202112
FLEXITUFF,INE060J01017,NSE,2021-12-14,22.25,22.25,20.5,20.95,54292,2021,12,14,202112
FLFL,INE452O01016,NSE,2021-12-14,51.6,52.9,51.5,52.1,95029,2021,12,14,202112
FLUOROCHEM,INE09N301011,NSE,2021-12-14,2420.55,2458.0,2378.0,2405.05,42960,2021,12,14,202112
FMGOETZE,INE529A01010,NSE,2021-12-14,240.0,240.0,236.25,237.2,20260,2021,12,14,202112
FMNL,INE360L01017,NSE,2021-12-14,9.25,9.25,8.95,9.0,100728,2021,12,14,202112
FOCUS,INE593W01010,NSE,2021-12-14,80.0,82.75,75.3,81.9,10237,2021,12,14,202112
FOODSIN,INE976E01023,NSE,2021-12-14,88.5,89.3,86.5,88.4,16780,2021,12,14,202112
FORCEMOT,INE451A01017,NSE,2021-12-14,1327.0,1351.9,1303.0,1309.75,49916,2021,12,14,202112
FORTIS,INE061F01013,NSE,2021-12-14,280.1,284.5,276.5,282.85,1413799,2021,12,14,202112
FOSECOIND,INE519A01011,NSE,2021-12-14,1429.45,1429.5,1399.15,1408.6,449,2021,12,14,202112
FRETAIL,INE752P01024,NSE,2021-12-14,49.4,49.55,48.5,48.85,1633011,2021,12,14,202112
FSC,INE935Q01015,NSE,2021-12-14,68.05,69.65,68.05,68.9,30418,2021,12,14,202112
FSL,INE684F01012,NSE,2021-12-14,174.95,175.4,170.0,172.2,2720703,2021,12,14,202112
GABRIEL,INE524A01029,NSE,2021-12-14,135.7,138.35,135.0,136.75,214047,2021,12,14,202112
GAEL,INE036B01030,NSE,2021-12-14,164.95,165.65,162.05,162.55,105907,2021,12,14,202112
GAIL,INE129A01019,NSE,2021-12-14,132.75,136.0,132.0,135.3,13018242,2021,12,14,202112
GAL,INE482J01021,NSE,2021-12-14,2.9,3.35,2.8,3.35,5010554,2021,12,14,202112
GALAXYSURF,INE600K01018,NSE,2021-12-14,2900.0,2900.0,2835.2,2887.6,27907,2021,12,14,202112
GALLANTT,INE297H01019,NSE,2021-12-14,72.5,73.0,71.5,71.5,21411,2021,12,14,202112
GALLISPAT,INE528K01029,NSE,2021-12-14,51.35,52.55,50.55,51.55,27663,2021,12,14,202112
GANDHITUBE,INE524B01027,NSE,2021-12-14,381.5,382.0,371.25,374.7,3844,2021,12,14,202112
GANECOS,INE845D01014,NSE,2021-12-14,490.2,499.0,489.3,496.8,8350,2021,12,14,202112
GANESHBE,INE388A01029,NSE,2021-12-14,97.0,108.75,93.1,106.8,1170689,2021,12,14,202112
GANESHHOUC,INE460C01014,NSE,2021-12-14,180.0,190.15,177.5,190.1,155462,2021,12,14,202112
GANGAFORGE,INE691Z01023,NSE,2021-12-14,21.0,21.3,20.5,21.15,1381782,2021,12,14,202112
GANGESSECU,INE335W01016,NSE,2021-12-14,86.9,87.0,85.65,86.3,675,2021,12,14,202112
GARFIBRES,INE276A01018,NSE,2021-12-14,3269.75,3284.95,3207.0,3245.75,4288,2021,12,14,202112
GATI,INE152B01027,NSE,2021-12-14,159.0,168.7,158.95,167.4,1147331,2021,12,14,202112
GAYAPROJ,INE336H01023,NSE,2021-12-14,33.0,34.25,32.95,33.95,728145,2021,12,14,202112
GDL,INE852F01015,NSE,2021-12-14,278.0,289.35,274.65,284.55,143820,2021,12,14,202112
GEECEE,INE916G01016,NSE,2021-12-14,149.4,150.7,147.85,149.55,6241,2021,12,14,202112
GEEKAYWIRE,INE669X01016,NSE,2021-12-14,85.5,87.05,84.5,85.15,5668,2021,12,14,202112
GENCON,INE854S01022,NSE,2021-12-14,36.25,37.25,34.8,35.25,139164,2021,12,14,202112
GENESYS,INE727B01026,NSE,2021-12-14,329.0,357.8,328.6,357.6,137964,2021,12,14,202112
GENUSPAPER,INE949P01018,NSE,2021-12-14,11.35,12.0,11.2,11.65,324881,2021,12,14,202112
GENUSPOWER,INE955D01029,NSE,2021-12-14,72.2,72.5,70.75,71.2,305142,2021,12,14,202112
GEOJITFSL,INE007B01023,NSE,2021-12-14,73.9,75.25,73.4,74.65,171116,2021,12,14,202112
GEPIL,INE878A01011,NSE,2021-12-14,268.7,270.75,261.2,262.5,176044,2021,12,14,202112
GESHIP,INE017A01032,NSE,2021-12-14,298.85,301.05,297.0,300.4,116606,2021,12,14,202112
GET&D,INE200A01026,NSE,2021-12-14,126.85,129.45,121.9,125.6,224457,2021,12,14,202112
GFLLIMITED,INE538A01037,NSE,2021-12-14,76.3,79.6,75.9,78.5,45176,2021,12,14,202112
GHCL,INE539A01019,NSE,2021-12-14,393.35,402.0,392.65,397.3,87483,2021,12,14,202112
GICHSGFIN,INE289B01019,NSE,2021-12-14,155.0,159.45,153.45,156.3,138868,2021,12,14,202112
GICRE,INE481Y01014,NSE,2021-12-14,140.3,142.2,137.1,139.45,1081362,2021,12,14,202112
GILLANDERS,INE047B01011,NSE,2021-12-14,62.5,64.9,60.5,64.9,15288,2021,12,14,202112
GILLETTE,INE322A01010,NSE,2021-12-14,5520.0,5543.65,5475.05,5495.8,1616,2021,12,14,202112
GINNIFILA,INE424C01010,NSE,2021-12-14,35.8,35.8,34.8,35.3,84720,2021,12,14,202112
GIPCL,INE162A01010,NSE,2021-12-14,82.9,83.45,82.0,82.65,133216,2021,12,14,202112
GKWLIMITED,INE528A01020,NSE,2021-12-14,650.0,660.0,650.0,656.2,640,2021,12,14,202112
GLAND,INE068V01023,NSE,2021-12-14,3590.0,3647.8,3560.05,3634.7,204683,2021,12,14,202112
GLAXO,INE159A01016,NSE,2021-12-14,1860.0,1892.65,1846.0,1867.75,49791,2021,12,14,202112
GLENMARK,INE935A01035,NSE,2021-12-14,529.0,537.0,513.4,518.3,1661556,2021,12,14,202112
GLOBAL,INE291W01011,NSE,2021-12-14,44.0,44.0,42.55,43.15,2982,2021,12,14,202112
GLOBALVECT,INE792H01019,NSE,2021-12-14,53.7,53.7,52.65,53.2,2708,2021,12,14,202112
GLOBE,INE581X01021,NSE,2021-12-14,18.9,19.15,18.1,18.5,2048610,2021,12,14,202112
GLOBUSSPR,INE615I01010,NSE,2021-12-14,1341.0,1358.05,1326.0,1331.15,88356,2021,12,14,202112
GLS,INE03Q201024,NSE,2021-12-14,617.1,620.85,606.0,606.65,109178,2021,12,14,202112
GMBREW,INE075D01018,NSE,2021-12-14,717.15,735.0,716.0,729.3,76040,2021,12,14,202112
GMDCLTD,INE131A01031,NSE,2021-12-14,72.7,72.85,71.5,71.8,297485,2021,12,14,202112
GMMPFAUDLR,INE541A01023,NSE,2021-12-14,4517.75,4517.75,4430.0,4445.85,10685,2021,12,14,202112
GMRINFRA,INE776C01039,NSE,2021-12-14,42.95,43.45,41.75,43.15,17681931,2021,12,14,202112
GNA,INE934S01014,NSE,2021-12-14,724.5,748.9,710.45,718.35,38385,2021,12,14,202112
GNFC,INE113A01013,NSE,2021-12-14,414.05,424.7,413.05,423.0,292460,2021,12,14,202112
GOACARBON,INE426D01013,NSE,2021-12-14,345.0,348.9,340.5,342.75,6518,2021,12,14,202112
GOCLCORP,INE077F01035,NSE,2021-12-14,331.15,340.6,323.0,338.25,33656,2021,12,14,202112
GOCOLORS,INE0BJS01011,NSE,2021-12-14,1175.1,1183.9,1157.9,1166.05,73723,2021,12,14,202112
GODFRYPHLP,INE260B01028,NSE,2021-12-14,1218.05,1237.05,1215.15,1221.95,11563,2021,12,14,202112
GODREJAGRO,INE850D01014,NSE,2021-12-14,525.0,535.0,525.0,534.05,55571,2021,12,14,202112
GODREJCP,INE102D01028,NSE,2021-12-14,925.3,932.8,915.2,930.7,566133,2021,12,14,202112
GODREJIND,INE233A01035,NSE,2021-12-14,581.35,588.6,577.7,583.85,81076,2021,12,14,202112
GODREJPROP,INE484J01027,NSE,2021-12-14,2079.0,2088.0,2012.0,2082.5,996662,2021,12,14,202112
GOKEX,INE887G01027,NSE,2021-12-14,280.6,289.45,276.6,284.7,186964,2021,12,14,202112
GOKUL,INE020J01029,NSE,2021-12-14,34.2,41.1,34.0,39.2,2179880,2021,12,14,202112
GOKULAGRO,INE314T01025,NSE,2021-12-14,69.0,70.2,65.25,66.15,268512,2021,12,14,202112
GOLDBEES,INF204KB17I5,NSE,2021-12-14,41.46,41.78,41.46,41.55,1741396,2021,12,14,202112
GOLDIAM,INE025B01017,NSE,2021-12-14,840.0,853.5,834.35,841.25,21803,2021,12,14,202112
GOLDSHARE,INF789F1AUX7,NSE,2021-12-14,41.55,41.7,41.5,41.55,79856,2021,12,14,202112
GOODLUCK,INE127I01024,NSE,2021-12-14,272.8,284.55,268.0,284.55,119944,2021,12,14,202112
GOODYEAR,INE533A01012,NSE,2021-12-14,1004.0,1015.3,1000.0,1003.9,6894,2021,12,14,202112
GPIL,INE177H01021,NSE,2021-12-14,272.0,273.95,265.0,266.3,213346,2021,12,14,202112
GPPL,INE517F01014,NSE,2021-12-14,99.8,101.9,99.15,99.5,272793,2021,12,14,202112
GPTINFRA,INE390G01014,NSE,2021-12-14,79.15,80.7,78.5,78.95,9573,2021,12,14,202112
GRANULES,INE101D01020,NSE,2021-12-14,340.5,346.8,336.05,340.85,1723185,2021,12,14,202112
GRAPHITE,INE371A01025,NSE,2021-12-14,427.0,439.9,425.05,432.2,504001,2021,12,14,202112
GRASIM,INE047A01021,NSE,2021-12-14,1715.0,1744.9,1710.45,1722.0,612932,2021,12,14,202112
GRAUWEIL,INE266D01021,NSE,2021-12-14,61.8,62.9,60.9,61.65,102230,2021,12,14,202112
GRAVITA,INE024L01027,NSE,2021-12-14,243.85,247.7,238.5,240.15,437491,2021,12,14,202112
GREAVESCOT,INE224A01026,NSE,2021-12-14,147.6,150.5,146.6,148.7,1341098,2021,12,14,202112
GREENLAM,INE544R01013,NSE,2021-12-14,1739.75,1997.4,1715.0,1781.85,802363,2021,12,14,202112
GREENPANEL,INE08ZM01014,NSE,2021-12-14,390.5,431.9,390.5,429.15,1039061,2021,12,14,202112
GREENPLY,INE461C01038,NSE,2021-12-14,209.95,220.4,209.3,217.5,413450,2021,12,14,202112
GRINDWELL,INE536A01023,NSE,2021-12-14,1818.0,1848.7,1800.1,1817.8,101136,2021,12,14,202112
GRINFRA,INE201P01022,NSE,2021-12-14,1724.0,1729.15,1697.0,1713.5,13916,2021,12,14,202112
GROBTEA,INE646C01018,NSE,2021-12-14,1040.0,1040.0,975.0,1000.65,363,2021,12,14,202112
GRPLTD,INE137I01015,NSE,2021-12-14,1020.0,1100.0,1000.6,1097.1,10296,2021,12,14,202112
GRSE,INE382Z01011,NSE,2021-12-14,234.65,237.85,233.0,233.65,81498,2021,12,14,202112
GSCLCEMENT,INE542A01039,NSE,2021-12-14,44.4,44.4,43.0,43.7,71307,2021,12,14,202112
GSFC,INE026A01025,NSE,2021-12-14,119.95,122.9,119.8,121.7,757635,2021,12,14,202112
GSPL,INE246F01010,NSE,2021-12-14,317.85,326.0,313.95,318.6,2058622,2021,12,14,202112
GTL,INE043A01012,NSE,2021-12-14,19.95,20.05,19.65,20.05,436257,2021,12,14,202112
GTLINFRA,INE221H01019,NSE,2021-12-14,1.85,1.85,1.85,1.85,2440703,2021,12,14,202112
GTNTEX,INE302H01017,NSE,2021-12-14,12.8,13.4,12.75,13.15,10621,2021,12,14,202112
GTPL,INE869I01013,NSE,2021-12-14,268.4,283.3,266.5,273.25,133852,2021,12,14,202112
GUFICBIO,INE742B01025,NSE,2021-12-14,215.6,223.0,215.05,218.5,310380,2021,12,14,202112
GUJALKALI,INE186A01019,NSE,2021-12-14,662.9,674.0,651.15,655.1,235780,2021,12,14,202112
GUJAPOLLO,INE826C01016,NSE,2021-12-14,211.4,214.5,210.2,212.5,3911,2021,12,14,202112
GUJGASLTD,INE844O01030,NSE,2021-12-14,660.05,668.3,656.8,664.9,501164,2021,12,14,202112
GULFOILLUB,INE635Q01029,NSE,2021-12-14,496.0,496.0,460.6,465.5,541514,2021,12,14,202112
GULFPETRO,INE586G01017,NSE,2021-12-14,46.95,47.0,45.55,46.0,21509,2021,12,14,202112
GULPOLY,INE255D01024,NSE,2021-12-14,267.0,275.0,263.2,272.5,40498,2021,12,14,202112
HAL,INE066F01012,NSE,2021-12-14,1308.0,1308.0,1281.0,1287.6,385180,2021,12,14,202112
HARRMALAYA,INE544A01019,NSE,2021-12-14,165.95,166.5,163.8,165.1,15588,2021,12,14,202112
HATHWAY,INE982F01036,NSE,2021-12-14,22.6,22.75,22.05,22.15,7338795,2021,12,14,202112
HATSUN,INE473B01035,NSE,2021-12-14,1320.0,1323.95,1265.35,1284.3,37267,2021,12,14,202112
HAVELLS,INE176B01034,NSE,2021-12-14,1372.0,1372.95,1340.0,1352.45,1322715,2021,12,14,202112
HBANKETF,INF179KC1AN8,NSE,2021-12-14,376.1,376.28,366.0,370.0,1730,2021,12,14,202112
HBLPOWER,INE292B01021,NSE,2021-12-14,63.2,67.9,62.75,67.35,3670219,2021,12,14,202112
HBSL,INE550B01022,NSE,2021-12-14,39.0,39.0,37.6,37.9,7237,2021,12,14,202112
HCC,INE549A01026,NSE,2021-12-14,18.5,18.55,16.85,17.1,25807428,2021,12,14,202112
HCG,INE075I01017,NSE,2021-12-14,258.9,260.3,254.5,257.4,82867,2021,12,14,202112
HCL-INSYS,INE236A01020,NSE,2021-12-14,18.45,19.35,18.25,19.35,1405095,2021,12,14,202112
HCLTECH,INE860A01027,NSE,2021-12-14,1156.0,1165.9,1145.5,1162.35,1972685,2021,12,14,202112
HDFC,INE001A01036,NSE,2021-12-14,2750.0,2764.0,2720.6,2751.95,2039433,2021,12,14,202112
HDFCAMC,INE127D01025,NSE,2021-12-14,2504.0,2513.4,2476.0,2487.2,242029,2021,12,14,202112
HDFCBANK,INE040A01034,NSE,2021-12-14,1502.5,1516.0,1497.05,1502.45,4595550,2021,12,14,202112
HDFCLIFE,INE795G01014,NSE,2021-12-14,678.0,678.0,665.65,669.5,2093071,2021,12,14,202112
HDFCMFGETF,INF179KC1981,NSE,2021-12-14,42.48,42.93,42.48,42.79,540602,2021,12,14,202112
HDFCNIFETF,INF179KC1965,NSE,2021-12-14,186.9,186.9,185.01,185.73,10888,2021,12,14,202112
HDFCSENETF,INF179KC1973,NSE,2021-12-14,635.0,635.0,624.01,626.35,2739,2021,12,14,202112
HEALTHY,INF209KB10C2,NSE,2021-12-14,8.57,8.74,8.35,8.6,77679,2021,12,14,202112
HEG,INE545A01016,NSE,2021-12-14,1782.0,1809.9,1755.0,1759.45,118690,2021,12,14,202112
HEIDELBERG,INE578A01017,NSE,2021-12-14,226.75,227.0,220.6,221.2,121547,2021,12,14,202112
HEMIPROP,INE0AJG01018,NSE,2021-12-14,134.85,136.05,133.5,134.15,328101,2021,12,14,202112
HERANBA,INE694N01015,NSE,2021-12-14,668.85,668.85,656.05,659.15,50351,2021,12,14,202112
HERCULES,INE688E01024,NSE,2021-12-14,150.0,151.45,148.05,149.65,19222,2021,12,14,202112
HERITGFOOD,INE978A01027,NSE,2021-12-14,415.05,430.0,414.05,425.4,149581,2021,12,14,202112
HEROMOTOCO,INE158A01026,NSE,2021-12-14,2480.0,2488.0,2460.0,2483.8,365318,2021,12,14,202112
HESTERBIO,INE782E01017,NSE,2021-12-14,2361.05,2450.05,2357.35,2433.55,8460,2021,12,14,202112
HEXATRADEX,INE750M01017,NSE,2021-12-14,136.95,143.9,133.95,140.45,5403,2021,12,14,202112
HFCL,INE548A01028,NSE,2021-12-14,86.9,86.9,79.8,80.45,46404854,2021,12,14,202112
HGINFRA,INE926X01010,NSE,2021-12-14,604.0,615.4,597.25,609.75,63034,2021,12,14,202112
HGS,INE170I01016,NSE,2021-12-14,3028.3,3129.1,3005.0,3082.0,12450,2021,12,14,202112
HIKAL,INE475B01022,NSE,2021-12-14,527.0,549.0,522.55,530.6,230324,2021,12,14,202112
HIL,INE557A01011,NSE,2021-12-14,4250.0,4320.05,4249.9,4284.4,3814,2021,12,14,202112
HIMATSEIDE,INE049A01027,NSE,2021-12-14,221.0,235.0,221.0,233.0,488625,2021,12,14,202112
HINDALCO,INE038A01020,NSE,2021-12-14,454.9,464.4,454.7,461.7,8027659,2021,12,14,202112
HINDCOMPOS,INE310C01029,NSE,2021-12-14,311.0,315.5,306.4,313.65,1681,2021,12,14,202112
HINDCON,INE642Y01011,NSE,2021-12-14,59.5,59.5,58.15,59.15,6696,2021,12,14,202112
HINDCOPPER,INE531E01026,NSE,2021-12-14,128.5,130.0,126.0,126.85,2839843,2021,12,14,202112
HINDNATGLS,INE952A01022,NSE,2021-12-14,30.3,30.9,30.0,30.55,20362,2021,12,14,202112
HINDOILEXP,INE345A01011,NSE,2021-12-14,182.0,186.65,178.35,184.15,201947,2021,12,14,202112
HINDPETRO,INE094A01015,NSE,2021-12-14,300.2,303.95,297.65,301.25,3456986,2021,12,14,202112
HINDUNILVR,INE030A01027,NSE,2021-12-14,2305.0,2324.95,2304.0,2318.3,1219031,2021,12,14,202112
HINDZINC,INE267A01025,NSE,2021-12-14,349.8,352.05,333.15,338.6,2717685,2021,12,14,202112
HIRECT,INE835D01023,NSE,2021-12-14,212.0,212.0,199.6,201.65,25481,2021,12,14,202112
HISARMETAL,INE598C01011,NSE,2021-12-14,122.0,122.95,121.0,121.3,1797,2021,12,14,202112
HITECH,INE106T01017,NSE,2021-12-14,560.0,578.0,560.0,572.65,25466,2021,12,14,202112
HITECHCORP,INE120D01012,NSE,2021-12-14,292.1,306.25,283.95,297.95,48971,2021,12,14,202112
HITECHGEAR,INE127B01011,NSE,2021-12-14,260.0,268.95,251.0,253.75,21164,2021,12,14,202112
HLEGLAS,INE461D01010,NSE,2021-12-14,5942.8,6023.0,5839.95,5909.7,9166,2021,12,14,202112
HMVL,INE871K01015,NSE,2021-12-14,72.0,75.4,71.9,74.7,147836,2021,12,14,202112
HNDFDS,INE254N01018,NSE,2021-12-14,2005.0,2005.0,1955.0,1963.25,6561,2021,12,14,202112
HNGSNGBEES,INF204KB19I1,NSE,2021-12-14,319.95,319.95,311.0,312.98,10128,2021,12,14,202112
HOMEFIRST,INE481N01025,NSE,2021-12-14,840.05,857.25,840.05,851.1,49942,2021,12,14,202112
HONAUT,INE671A01010,NSE,2021-12-14,40149.85,40600.0,39918.8,40110.85,1349,2021,12,14,202112
