name,isin,bse,nse,series,url
ACCEDERE,INE578B01015,531533,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accedere/EM01
ACE ENG,INE035401012,530669,,,https://www.moneycontrol.com/india/stockpricequote/aceeng/aceengitech/PSF
ACE Edutrend,INE715F01014,530093,,,https://www.moneycontrol.com/india/stockpricequote/diversified/aceedutrend/AIF
ACE Integrated,INE543V01017,0,ACEINTEG,EQ,https://www.moneycontrol.com/india/stockpricequote/misccommercialservices/aceintegratedsolutions/AIS
ACGL,INE451C01013,505036,AUTOCORP,,https://www.moneycontrol.com/india/stockpricequote/acgl/automobilecorpgoaacgl/ACG
ACI Infocom,INE167B01025,517356,,,https://www.moneycontrol.com/india/stockpricequote/computershardware/aciinfocom/ACI07
ACIL Cotton Ind,INE066C01035,530901,,,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acilcottonindustries/ACI14
ACS TECHNOLOGIE,INE366C01013,530745,,,https://www.moneycontrol.com/india/stockpricequote/acstechnologie/acstechnologies/LNP
ADC India Comm,INE833A01016,523411,KRONECOMM,,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07
ADCON-RE,INE805Q20010,750744,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adconcapitalservicesre/ACS02
ADCONPP ,IN9805Q01018,890179,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adconcapitalservicespp/ACS07
ADF Foods,INE982B01027,519183,ADFFOODS,EQ,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
ADINATH TEXTILE,INE207C01019,514113,,,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adinathtextiles/AT02
ADRO-RE,INE737B20017,750826,ADRO-RE,,https://www.moneycontrol.com/india/stockpricequote/onlineservices/adroitinfotechre/AIR02
ADS Diagnostic ,,523031,,,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS
ADVIKCA-RE,INE178T20024,750807,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/advikcapitalre/ACR
AEONXDIGI,INE994D01010,524594,ASHOKALCO,,https://www.moneycontrol.com/india/stockpricequote/aeonxdigi/aeonxdigitaltechnology/AAC01
AERPACE-RE,INE175N20015,750812,,,https://www.moneycontrol.com/india/stockpricequote/aerpacere/aerpaceindustriesre/AIR01
AFEL-RE,INE663P20015,750775,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprisesre/ER04
AFFORD-RE,INE692Z20013,750831,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/affordableroboticautomationre/ARA01
AFL,INE955V01021,542484,ARVINDFASN,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248
AGI Greenpac,INE415A01038,500187,AGI,EQ,https://www.moneycontrol.com/india/stockpricequote/agigreenpac/agigreenpac/HSI02
AGI Infra,INE976R01017,539042,,,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/agiinfra/AI43
AGOL-RE,INE05FR20011,750859,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ashapurigoldornamentre/AGO01
AGS Transact,INE583L01014,543451,AGSTRA,EQ,https://www.moneycontrol.com/india/stockpricequote/onlineservices/agstransacttechnologies/ATT
AHDVBCH,INE224E01036,570005,SCAPDVR,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ahdvbch/SCAPD17
AI Champdany,INE768E01024,532806,AICHAMP,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02
AIA Engineering,INE212H01026,532683,AIAENG,EQ,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
AIH,INE342U01016,542524,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ambassadorintraholdings/AIHL54252
