symbol,isin,exchange,date,open,high,low,close,volume,year,month,day,ym
GRANULES (I),532482,BSE,2021-12-14,341.0,346.55,336.35,340.75,71979,2021,12,14,202112
CANARA BANK ,532483,BSE,2021-12-14,217.0,217.3,212.3,216.0,509567,2021,12,14,202112
BALMER LA.IN,532485,BSE,2021-12-14,399.95,400.0,396.4,397.4,5484,2021,12,14,202112
POKARNA LTD ,532486,BSE,2021-12-14,645.0,650.0,639.7,644.6,3297,2021,12,14,202112
DIVI'S LAB. ,532488,BSE,2021-12-14,4525.0,4665.3,4506.95,4651.8,108600,2021,12,14,202112
ASTRA MICRO ,532493,BSE,2021-12-14,256.7,261.1,253.6,257.9,33836,2021,12,14,202112
RADICOKHAIT ,532497,BSE,2021-12-14,1083.0,1087.15,1059.75,1071.45,12922,2021,12,14,202112
SHRMCITYUN  ,532498,BSE,2021-12-14,2148.0,2186.0,2006.0,2020.75,3431,2021,12,14,202112
MARUTISUZUK ,532500,BSE,2021-12-14,7499.0,7552.75,7461.0,7491.05,10346,2021,12,14,202112
RAJAPAMILLS ,532503,BSE,2021-12-14,973.15,999.0,951.0,986.05,6745,2021,12,14,202112
NAVIN FLUORI,532504,BSE,2021-12-14,3921.9,3973.95,3888.45,3962.3,3160,2021,12,14,202112
UCOBANK     ,532505,BSE,2021-12-14,13.7,13.7,13.54,13.6,323359,2021,12,14,202112
BAG FIL MED ,532507,BSE,2021-12-14,3.87,3.92,3.75,3.92,401519,2021,12,14,202112
JSL         ,532508,BSE,2021-12-14,183.6,192.0,181.7,190.3,263517,2021,12,14,202112
SUPRAJIT ENG,532509,BSE,2021-12-14,408.75,426.1,405.85,423.2,45223,2021,12,14,202112
TVSELE      ,532513,BSE,2021-12-14,180.1,182.1,177.45,177.8,7462,2021,12,14,202112
INDRA GAS   ,532514,BSE,2021-12-14,500.0,512.4,496.25,510.65,58061,2021,12,14,202112
TV TODAY    ,532515,BSE,2021-12-14,415.4,460.0,415.1,434.4,166048,2021,12,14,202112
PALRED      ,532521,BSE,2021-12-14,219.0,230.05,210.0,230.05,24074,2021,12,14,202112
PETRONET LNG,532522,BSE,2021-12-14,227.0,227.0,221.15,223.1,48999,2021,12,14,202112
BIOCON LTD. ,532523,BSE,2021-12-14,375.2,383.45,373.85,378.05,132498,2021,12,14,202112
PTC INDIA   ,532524,BSE,2021-12-14,113.8,114.75,112.55,113.8,79440,2021,12,14,202112
BANK MAHA   ,532525,BSE,2021-12-14,20.85,20.85,20.3,20.45,301644,2021,12,14,202112
RK FORGINGS ,532527,BSE,2021-12-14,936.55,950.45,935.55,938.95,8996,2021,12,14,202112
DATAM GLOB  ,532528,BSE,2021-12-14,303.5,307.7,300.25,305.1,10786,2021,12,14,202112
NDTV        ,532529,BSE,2021-12-14,111.9,133.55,111.5,133.55,641358,2021,12,14,202112
STAR        ,532531,BSE,2021-12-14,485.5,497.35,475.15,478.05,114854,2021,12,14,202112
JAIPRA      ,532532,BSE,2021-12-14,10.35,11.1,10.34,11.1,2924880,2021,12,14,202112
ULTRATECH CM,532538,BSE,2021-12-14,7427.0,7453.5,7336.7,7386.45,3311,2021,12,14,202112
MINDA IND   ,532539,BSE,2021-12-14,1035.0,1073.5,1010.55,1031.8,53034,2021,12,14,202112
TCS LTD.    ,532540,BSE,2021-12-14,3601.0,3634.4,3576.15,3622.8,87750,2021,12,14,202112
COFORGE     ,532541,BSE,2021-12-14,5472.0,5493.6,5359.75,5440.95,5268,2021,12,14,202112
GULFPETRO   ,532543,BSE,2021-12-14,46.15,46.7,45.45,46.1,7059,2021,12,14,202112
CENTURYPLY  ,532548,BSE,2021-12-14,613.0,628.4,613.0,619.6,9447,2021,12,14,202112
WELENT      ,532553,BSE,2021-12-14,102.25,102.7,99.75,102.1,20411,2021,12,14,202112
NTPC LTD    ,532555,BSE,2021-12-14,125.85,127.4,125.0,126.25,208685,2021,12,14,202112
SALSTEEL    ,532604,BSE,2021-12-14,9.9,9.9,9.43,9.81,22820,2021,12,14,202112
JBM AUTO    ,532605,BSE,2021-12-14,1120.9,1132.9,1104.8,1110.65,3014,2021,12,14,202112
DWAR SUGAR  ,532610,BSE,2021-12-14,71.5,72.75,71.3,72.2,68646,2021,12,14,202112
INDOCO REM  ,532612,BSE,2021-12-14,438.0,442.3,430.35,432.9,4192,2021,12,14,202112
VIPCLOTHNG  ,532613,BSE,2021-12-14,21.15,21.65,20.5,21.65,84311,2021,12,14,202112
XCHANGING   ,532616,BSE,2021-12-14,104.25,108.2,104.25,106.15,41845,2021,12,14,202112
JETAIRWAYS  ,532617,BSE,2021-12-14,91.05,92.0,90.0,91.25,15782,2021,12,14,202112
MORARJETEX  ,532621,BSE,2021-12-14,20.0,21.45,20.0,20.3,5105,2021,12,14,202112
GATEWAY DIST,532622,BSE,2021-12-14,276.5,285.0,274.8,283.35,5861,2021,12,14,202112
JINDALPH    ,532624,BSE,2021-12-14,305.9,305.9,305.9,305.9,1781,2021,12,14,202112
PONDY OXIDES,532626,BSE,2021-12-14,475.9,475.9,460.75,464.45,13249,2021,12,14,202112
JPPOWER     ,532627,BSE,2021-12-14,5.97,6.17,5.62,5.79,37896740,2021,12,14,202112
3I INFOTECH ,532628,BSE,2021-12-14,108.0,110.85,106.45,110.85,691035,2021,12,14,202112
MCNALLYB    ,532629,BSE,2021-12-14,7.1,7.1,6.8,7.0,14687,2021,12,14,202112
GOKALDAS    ,532630,BSE,2021-12-14,279.0,289.7,275.2,284.45,24541,2021,12,14,202112
